Name	Latitude	Longitude	PixelX	PixelY	aot_869	angstrom	Rrs_412	Rrs_443	Rrs_469	Rrs_488	Rrs_531	Rrs_547	Rrs_555	Rrs_645	Rrs_667	Rrs_678	chlor_a	chl_ocx	Kd_490	pic	poc	ipar	nflh	par	l2_flags	longitude	latitude	pins
pin_1	-42.907681	-64.323219	151.5	207.5	0.0138	1.532100081	0.001346001	0.002716001	0.004154001	0.004992001	0.004744001	0.004422001	0.004118001	7.44E-04	4.82E-04	5.56E-04	1.266850591	1.266850591	0.1206	0.001455998	329.9999084	0.0010058	0.172515005	34.13399887	320	-64.3232193	-42.90768051	0
pin_2	-42.837578	-64.422752	153.5	220.5	0.0145	1.221400023	7.62E-04	0.001786001	0.002858001	0.003452001	0.003478001	0.003204001	0.003062001	4.58E-04	3.72E-04	3.84E-04	1.431175828	1.431175828	0.129999995	5.88E-04	357.9999084	0.0010116	0.06524501	34.23199844	0	-64.42275238	-42.83757782	1
pin_3	-42.718426	-64.621536	158.5	235.5	0.015899999	0.818700016	6.16E-04	0.001202001	0.001974001	0.002330001	0.002578001	0.002486001	0.002372001	3.70E-04	3.40E-04	4.38E-04	2.092854977	2.092854977	0.167400002	6.60E-05	405.5999146	0.0010202	0.18883501	34.16399765	0	-64.62153625	-42.71842575	1
pin_4	-42.598263	-64.684631	158.5	251.5	0.0174	0.774100065	-5.78E-04	5.28E-04	0.001448001	0.002022001	0.002182001	0.002078001	0.001920001	2.46E-04	1.60E-04	2.40E-04	1.884099126	1.884099126	0.1558		773.1998901	0.0010236	0.138600007	33.96199799	1073741888	-64.68463135	-42.59826279	1
pin_5	-42.67165	-64.415894	150.5	235.5	0.016099999	0.701300025	6.40E-04	0.001246001	0.001978001	0.002446001	0.002618001	0.002514001	0.002420001	2.92E-04	3.34E-04	4.26E-04	1.883858442	1.883858442	0.1558	8.40E-05	395.9999084	0.0010179	0.180250004	34.38599777	0	-64.41589355	-42.67164993	1
pin_6	-42.789379	-64.756592	164.5	232.5	0.0166	1.309200048	-6.22E-04	6.98E-04	0.001664001	0.002190001	0.002602001	0.002568001	0.002454001	3.04E-04	2.60E-04	3.48E-04	2.755228043	2.755228043	0.204599991		739.3999023	0.0010169	0.162995011	34.11599731	1073741888	-64.7565918	-42.78937912	1
pin_7	-42.35899	-64.458771	146.5	271.5	0.016799999	1.006900072	5.70E-04	0.002360001	0.004118001	0.005204001	0.005132001	0.004840001	0.004548001	6.28E-04	4.80E-04	5.26E-04	1.438633919	1.438633919	0.130400002		420.9999084	0.0010229	0.132055014	34.52999878	1073741888	-64.45877075	-42.35898972	1
pin_8	-42.018276	-63.796535	119.5	291.5	0.013599999	1.298699975	0.003736001	0.006368001	0.009046	0.01051	0.010930001	0.010608001	0.009926001	0.002530001	0.001902001	0.001826001	1.792538643	1.792538643	0.150600001	0.007155998	348.1999207	0.0010166	0.132395014	34.89799881	2112	-63.79653549	-42.01827621	1
pin_9	-42.038166	-64.372795	138.5	299.5	0.011899999	1.19780004	0.002408001	0.003596001	0.005090001	0.005862001	0.005400001	0.004948001	0.004570001	8.48E-04	5.66E-04	5.82E-04	1.122181535	1.122181535	0.111999996	0.001601998	278.7998962	0.00103	0.104345009	34.80199814	0	-64.3727951	-42.03816605	1
pin_10	-42.047344	-64.813011	153.5	312.5	0.0139	0.983400047	5.34E-04	0.001444001	0.002436001	0.002856001	0.002928001	0.002738001	0.002596001	4.92E-04	3.92E-04	4.28E-04	1.559980154	1.559980154	0.137400001	2.46E-04	374.5999146	0.0010386	0.105110012	34.81799698	0	-64.81301117	-42.04734421	1
pin_11	-41.805351	-64.69912	145.5	334.5	0.012499999	0.685000062	0.001778001	0.002382001	0.003352001	0.003884001	0.003616001	0.003406001	0.003240001	5.76E-04	5.02E-04	5.32E-04	1.235720634	1.235720634	0.118799999	6.12E-04	284.3999023	0.001044	0.113355011	35.03199768	0	-64.69911957	-41.80535126	1
pin_12	-41.565723	-64.781639	144.5	359.5	0.0132	0.565900028	7.24E-04	0.001326001	0.002002001	0.002444001	0.002406001	0.002274001	0.002084001	5.60E-04	3.46E-04	4.06E-04	1.438279986	1.438279986	0.130400002	1.80E-05	331.5999146	0.0010512	0.135115013	35.16799927	0	-64.7816391	-41.56572342	1
pin_13	-41.344906	-64.744736	139.5	384.5	0.011399999	1.289900064	3.72E-04	0.001174001	0.001838001	0.002152001	0.002214001	0.002088001	0.001940001	3.68E-04	2.72E-04	3.72E-04	1.608328938	1.608328938	0.140199989	3.20E-05	340.7998962	0.001052	0.185095012	35.5019989	0	-64.74473572	-41.34490585	1
pin_14	-41.143143	-64.810646	138.5	406.5	0.0129	1.029900074	9.12E-04	0.001434001	0.002168001	0.002508001	0.002442001	0.002270001	0.002306001	4.66E-04	3.38E-04	3.84E-04	1.342661977	1.342661977	0.125	1.40E-05	305.1999207	0.0010581	0.110295005	35.50799942	0	-64.81064606	-41.1431427	1
